sub1,sub2,sub3,sub4
-409.8761925,-235.6868356,19.56454066,979.4284875
-282.8908838,-246.5938536,33.95324811,972.6214893
-192.3693615,-246.2980587,47.04269388,966.8047262
-105.3155999,-235.1336711,58.76051528,961.9987557
0.055660789,-213.7941433,69.05530505,958.2231775
41.9503963,-183.3138815,77.89690122,955.496584
73.38717541,-145.0400747,85.2763858,953.8365135
107.1393614,-100.5945606,91.20579431,953.2594048
142.1177733,-51.8258704,95.71754202,953.7805551
226.9542449,-0.751902054,98.86357668,955.4140804
255.4969199,50.50592998,100.7142715,958.1728785
225.2685834,99.79574613,101.3570754,962.0685951
203.4498544,145.0136122,100.8949411,967.1115923
192.2395887,184.184936,99.4445543,973.310921
91.23533442,215.5459798,97.13439068,980.6742951
13.50710483,237.6221972,94.1026281,989.2080699
-15.04197808,249.2998098,90.49494523,998.917223
-75.47448755,249.8869109,86.46223782,1009.805339
-152.8833352,239.1604542,82.15828536,1021.874596
-224.7189413,217.3957834,77.73740132,1035.125757
-303.0561496,185.3758857,73.35210021,1049.558164
-320.4088557,144.378307,69.15081419,1065.169734
-243.3912753,96.13862093,65.27569117,1081.956963
-167.6858949,42.79046629,61.86050488,1099.914924
-84.68937413,-13.21660825,59.02870567,1119.037277
-13.83893709,-69.21898116,56.89163863,1139.31628
54.86697518,-122.456728,55.54695312,1160.7428
141.4188922,-170.2024469,55.07722473,1183.30633
171.0915056,-209.8953228,55.54880777,1206.995009
195.047351,-239.2739275,57.01093283,1231.795644
226.2921008,-256.5008926,59.49506048,1257.693731
212.2745944,-260.2725842,63.01449819,1284.673492
193.7051147,-249.9072933,67.56428408,1312.717895
128.2661934,-225.4062253,73.12133694,1341.808695
92.44137152,-187.4827078,79.64486841,1371.926468
100.9887987,-137.5564948,87.07704923,1403.050647
93.79827388,-77.7117569,95.34391793,1435.159565
-1.08778573,-10.61922908,104.3565171,1468.230498
-78.92700495,60.57505886,114.012239,1502.239707
-197.6089836,132.3901346,124.196359,1537.16249
-284.8503794,201.1734194,134.783734,1572.973226
-347.6255139,263.2794461,145.6406393,1609.645428
-332.4837203,315.2552081,156.6267159,1647.151796
-259.983943,354.0226751,167.5970001,1685.464268
-169.1168704,377.0487906,178.4040043,1724.554075
-48.1851934,382.4935727,188.8998187,1764.391802
25.13658929,369.3277703,198.9382029,1804.947437
167.4100637,337.4128615,208.3766379,1846.190437
216.8139607,287.5379529,217.0783072,1888.089779
246.7217218,221.4102715,224.9139805,1930.614026
298.1065257,141.5983206,231.763772,1973.731382
215.9622259,51.42927247,237.5187493,2017.409752
154.8061591,-45.15533546,242.0823703,2061.616806
96.78743869,-143.7792011,245.3717294,2106.320033
103.6023016,-239.8377003,247.3185945,2151.486804
141.1964226,-328.7210784,247.8702243,2197.084432
96.68298377,-406.0431626,246.9899532,2243.080226
-63.78527101,-467.8638228,244.6575396,2289.441554
-183.071685,-510.8934872,240.8692732,2336.135899
-237.2900159,-532.6687397,235.6378429,2383.130913
-302.34709,-531.6893531,228.9919706,2430.394472
-295.3815614,-507.5089906,220.9758169,2477.894735
-207.1542225,-460.7741385,211.6481717,2525.600189
-190.3226544,-393.2084957,201.081444,2573.479706
-140.6601528,-307.5429033,189.3604675,2621.502589
-34.21598038,-207.3937827,176.5811437,2669.638619
166.4387698,-97.09582016,162.8489439,2717.858106
162.8178967,18.50288122,148.2772951,2766.131927
94.36966205,134.2728932,132.9858757,2814.431569
173.5709968,245.0509826,117.0988494,2862.729171
204.429028,345.8903479,100.7430644,2910.99756
274.6628233,432.3006461,84.04624666,2959.210284
226.1877595,500.4653757,67.13521621,3007.341649
132.4537549,547.4253465,50.1341543,3055.366744
36.19681847,571.2187586,33.16294777,3103.261475
-45.65894025,570.9707197,16.33563697,3151.002584
-43.60439853,546.9277352,-0.241009448,3198.567673
-139.8821096,500.4356535,-16.46877099,3245.935227
-183.478126,433.8625812,-32.25908385,3293.084629
-265.343425,350.4712186,-47.53396536,3339.996172
-260.4720866,254.2477528,-62.22674083,3386.651075
-124.3456475,149.6967212,-76.28256254,3433.031489
-50.09479462,41.61300443,-89.6587146,3479.120505
120.9093281,-65.15678331,-102.3247002,3524.902155
72.11150965,-165.9508152,-114.2621116,3570.361417
-17.60583538,-256.5140852,-125.4642874,3615.484208
19.43291827,-333.1945376,-135.9357633,3660.257383
76.34628804,-393.1034847,-145.6915289,3704.668726
78.55181018,-434.2326481,-154.7561034,3748.706941
56.61350376,-455.5226984,-163.162447,3792.361642
23.76835936,-456.8809612,-170.9507297,3835.623332
70.98241297,-439.148827,-178.1669777,3878.483392
143.2097561,-404.0221924,-184.8616224,3920.934059
185.0803687,-353.9307933,-191.0879794,3962.968404
66.14480277,-291.8844298,-196.9006822,4004.580309
-91.70463329,-221.2957058,-202.354102,4045.764441
-106.0855242,-145.7899195,-207.500779,4086.516223
-118.5388038,-69.0131038,-212.3898969,4126.831804
-138.2332929,5.551086825,-217.0658258,4166.708032
-145.3815308,74.74588088,-221.5667628,4206.142413
-75.06859919,135.8790118,-225.9234952,4245.133083
28.18241415,186.8271275,-230.1583094,4283.678768
79.4424038,226.1029159,-234.2840687,4321.778749
26.57735103,252.8833047,-238.303478,4359.432822
28.14776918,266.9995225,-242.2085508,4396.641259
19.52342968,268.8920974,-245.9802936,4433.404766
22.32831485,259.5358542,-249.5886145,4469.724445
