sub1,sub2,sub3,sub4,sub5
-2220.99486,-73.04312321,-193.3010892,-450.2399468,3312.001466
-2206.323395,-19.62712955,-187.5026066,-418.1393253,3312.403681
-2217.168465,23.79637438,-182.9192653,-357.7419276,3312.937383
-2216.566386,39.19525363,-183.4654089,-273.9392997,3313.551706
-2195.87848,47.70214746,-187.6966616,-173.4094649,3314.15435
-2211.586912,40.2126817,-191.1108342,-63.95688649,3314.627448
-2200.892155,-0.655081561,-189.5843828,47.19053031,3315.052156
-2186.256557,-44.56544158,-183.9819479,153.1615693,3315.552856
-2196.069656,-42.92507527,-179.1523255,247.1614137,3316.146324
-2181.581053,-5.356249555,-176.9273877,323.3718712,3316.842278
-2170.100092,12.48104884,-173.6009179,376.7938936,3317.508715
-2170.620436,4.546643212,-163.3672732,405.0177299,3318.170765
-2163.197656,6.166216203,-147.2273777,408.0799326,3318.95536
-2139.994666,11.57321922,-134.1409846,387.2158996,3319.860892
-2147.154759,-1.119044423,-129.4225026,344.607045,3320.735099
-2130.054437,-5.620975099,-126.1500072,285.0928009,3321.688249
-2110.950731,15.290117,-117.2234742,214.4822647,3322.836611
-2112.823385,28.83375957,-107.7289969,137.7377327,3324.033497
-2091.558178,17.09263406,-106.2226141,60.48504264,3325.274156
-2076.508141,-10.92394999,-112.0348449,-11.04930035,3326.784261
-2068.917858,-49.93549048,-117.38167,-72.79881374,3328.546869
-2050.702466,-68.18949352,-115.3388609,-121.798978,3330.610278
-2027.406002,-37.80584263,-107.7759059,-156.8389048,3332.985777
-2023.803016,7.008324638,-101.9476543,-179.255722,3335.467548
-1995.023361,27.61737645,-98.41653508,-190.9772156,3337.983594
-1977.23506,35.49766533,-90.78831092,-194.4039132,3340.537977
-1970.331771,44.12526722,-75.12155685,-192.4885536,3343.122794
-1932.821311,37.87263351,-54.32098431,-188.2730913,3345.73995
-1926.939441,12.85635671,-33.32419488,-184.7977853,3348.339055
-1902.939385,-8.369295467,-12.87408602,-184.5984434,3350.836008
-1875.938164,-14.52881947,9.13100117,-188.5895161,3353.28415
-1863.663821,-22.02888038,30.66223395,-196.6792073,3355.709939
-1837.673637,-42.14142486,46.98812372,-207.4506592,3358.196151
-1811.30909,-58.37104479,56.74415043,-219.3413667,3360.645471
-1795.170458,-35.16954167,65.15497422,-228.5200095,3363.289937
-1771.484532,22.82687566,72.05275788,-231.6451157,3366.195548
-1733.339774,69.50746198,69.65587452,-226.5349057,3369.216406
-1730.786531,77.01227366,55.69228612,-210.9642785,3372.30239
-1685.302094,50.61855241,39.0502056,-183.1856798,3375.441874
