sub1,sub2,sub3,sub4,sub5
2763.163074,-1632.503974,-292.2463984,-81.95679905,-403.025903
2774.044873,-1632.471965,-288.2655855,-47.8382223,-328.3790989
2784.926003,-1632.417655,-294.9097038,-5.81830802,-276.600336
2795.802416,-1632.349236,-303.3106227,44.72541091,-224.5579682
2806.719216,-1632.171924,-282.8109328,98.39373534,-176.5900937
2817.663262,-1631.9129,-290.9904408,156.9807599,-159.7106808
2828.280255,-1630.649722,-299.5407794,197.6991154,-128.3288695
2838.538709,-1628.27671,-283.6786995,217.7393822,-93.31268176
2848.594817,-1625.244227,-295.1892485,229.1561808,-17.52752249
2858.34663,-1621.280646,-290.0661587,225.2733131,108.2068611
2868.007559,-1616.890769,-284.2960673,218.0420465,180.0272302
2877.583828,-1612.093211,-287.5440846,208.1398127,202.4036549
2886.875496,-1606.385817,-284.6697543,183.53631,237.1137655
2895.920755,-1599.856737,-257.6417135,146.4276419,264.3300537
2904.956941,-1593.201458,-294.8397711,115.3881743,252.2861138
2913.974423,-1586.401726,-287.3215245,90.23613431,203.9526949
2922.8789,-1579.165948,-250.8225031,63.23119947,167.5483515
2931.723561,-1571.652999,-268.079625,38.7884796,139.9005839
2940.307746,-1563.300164,-270.1871243,2.52303469,80.96650628
2948.61422,-1554.05743,-240.7961056,-46.70906018,-1.51162445
2956.78237,-1544.324607,-263.4469081,-98.27115473,-45.50970024
2964.762827,-1533.963658,-265.3378656,-155.5560879,-51.6152156
2972.814512,-1523.571389,-220.8892975,-193.6843475,-34.68947789
2980.974257,-1513.240443,-242.9284405,-209.0966324,21.17125887
2989.081106,-1502.581282,-236.8095233,-216.0103122,46.48001181
2997.209915,-1491.767843,-224.2174397,-207.0303253,38.95569284
3005.238333,-1480.534009,-226.8105236,-194.1294213,44.93562247
3013.152964,-1468.846497,-205.6690559,-178.1499165,49.11250528
3021.08063,-1456.990619,-218.3347739,-146.3953969,24.38015981
3028.99584,-1444.910053,-210.5672321,-101.0604038,-27.878151
3036.653225,-1432.003677,-188.5226557,-64.24356228,-64.90333069
3044.047979,-1418.256059,-200.3373662,-35.94554926,-89.81900431
3051.281028,-1403.917789,-180.1246466,-6.71430485,-136.4442865
3058.289961,-1388.834514,-171.8092201,18.11788311,-197.9741113
3065.249605,-1373.426106,-173.8971309,55.13863657,-216.5350046
3072.170471,-1357.717391,-174.6340193,105.6676615,-191.9267216
3078.912963,-1341.368434,-138.851765,157.1993007,-209.3020643
3085.514916,-1324.469176,-153.0246261,213.6104477,-260.7515623
3092.218372,-1307.758312,-135.4719379,251.5142498,-302.6023728
3099.031115,-1291.268881,-129.1423916,267.2645091,-349.7443513
3105.865518,-1274.715075,-119.0336109,274.7032472,-362.7400791
3112.786692,-1258.297835,-116.9393452,266.7885159,-333.3980283
3119.620315,-1241.505672,-96.15500824,254.1706361,-249.580271
3126.361338,-1224.321826,-97.60835031,237.6478264,-94.9789872
3133.154624,-1207.180511,-84.58109538,205.4754386,64.02154543
3139.966261,-1189.982515,-55.62310703,159.5658212,233.6735395
3146.670395,-1172.3131,-82.07426625,121.6642928,384.402679
3153.275167,-1154.194125,-30.37484886,91.83938608,498.8444205
3159.820132,-1135.764148,-49.72028847,60.60782774,574.5764762
3166.277113,-1116.928902,-52.34442662,33.22522665,593.4309886
3172.761713,-1098.05649,8.77400807,-6.44359502,568.164364
3179.281236,-1079.170939,-6.318268228,-59.72114645,488.2491172
3185.756601,-1060.016259,-1.622781141,-114.3923708,403.6248091
3192.214993,-1040.678808,11.23292345,-174.2421826,316.1730735
3198.439663,-1020.533928,40.18702922,-212.1111261,256.588362
3204.401939,-999.4958151,33.8790149,-223.993936,242.6387974
3210.224386,-977.9234431,58.64991535,-225.4324096,115.1915513
3215.84367,-955.6334344,73.8270335,-208.2914372,-123.2958327
3221.367174,-932.9287933,74.92460398,-185.4637239,-294.8592604
3226.802916,-909.8329527,113.2914353,-157.8155044,-423.6358943
3232.040347,-886.0295775,103.2845169,-111.4792378,-512.4660492
3237.099897,-861.5760999,94.55741396,-48.76678316,-525.3344271
3242.165719,-837.0145787,174.9724477,5.91652421,-516.7201124
3247.237756,-812.3458354,177.1424334,52.59334076,-473.597695
3252.2392,-787.3419562,151.8122507,101.8200879,-355.8695823
3257.214749,-762.1347673,127.4086821,147.7384872,-165.6171511
3262.025786,-736.3187905,262.4425884,208.696057,-46.79564093
3266.661971,-709.8635285,256.2804596,286.204769,-3.553670852
3271.22826,-683.0769561,177.5508902,366.4961011,43.86170417
3275.692703,-655.865612,263.9420275,453.8964834,60.7843977
3280.328956,-628.8373445,275.7485077,511.4993426,123.3205376
3285.175954,-602.0864724,291.221674,534.1775749,241.7312697
3290.082162,-575.2598697,282.4104269,542.4634907,261.4337907
3295.129542,-548.5413269,321.2674197,525.3843879,192.1399772
3300.185203,-521.6525849,312.7076344,501.1161111,151.4836357
3305.241464,-494.5750274,296.9966966,470.799733,114.1871345
3310.439884,-467.6163049,368.8011599,415.3541711,74.67108974
