IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,residual
-232.9103901,132.1027982,-197.0353136,-1435.46866,-291.9659035,-53.40731399,-28.54948506,-225.1151306,-78.53236686,-99.37840556,-0.280494906,2863.970666
-230.6680178,137.9876303,-188.0780674,-1444.393898,-292.6553981,-43.766696,-4.071526303,-203.5533872,-86.32068966,-38.50502202,4.389812643,2866.72526
-228.4126753,143.859213,-178.9417415,-1453.475913,-293.01248,-34.19683214,28.37852412,-186.4825512,-93.21534177,3.097556939,-1.897223783,2869.479465
-226.1430247,149.7124698,-169.6091818,-1462.740054,-293.0010471,-24.7921833,69.51759421,-175.5265721,-110.8380362,61.80664007,-10.30957556,2872.232971
-223.8738397,155.6038323,-160.2684202,-1471.903504,-293.0079568,-14.40030676,112.7940421,-144.8214053,-103.4560505,71.68736211,10.19702399,2874.989223
-221.6008021,161.5168478,-150.8643262,-1481.048574,-292.9185342,-3.342420675,160.3231806,-100.5938594,-75.35190364,16.23508228,1.928093423,2877.747216
-219.3817052,167.1960882,-141.9880358,-1488.661686,-292.4081706,5.654429503,192.0446859,-66.0552684,-46.3988918,-15.8747093,-7.132608752,2880.465872
-217.2241211,172.6214871,-133.7209509,-1494.555759,-291.4849946,12.44552993,205.2938523,-39.95991147,-11.58822299,-41.7645473,7.806295069,2883.141343
-215.0979376,177.9006483,-125.7471117,-1499.497115,-290.217553,18.08342734,211.0727535,-15.23027775,36.33155727,-38.62880201,-4.971695479,2885.792106
-213.0203998,182.9607386,-118.2438388,-1503.036807,-288.5211331,21.81357248,203.4597406,2.769929248,95.18739634,10.24953552,-1.545025639,2888.406291
-210.9619387,187.9612831,-110.917259,-1505.97351,-286.6714964,25.48280913,192.5592374,34.55476081,125.4604016,20.01206777,2.375429137,2891.008215
-208.921241,192.9064479,-103.7532989,-1508.339912,-284.6683304,29.13972167,179.000091,81.22087313,124.1096163,-2.926834489,-2.875754162,2893.598621
-206.928976,197.6499891,-97.06233466,-1509.323482,-282.2973028,31.18154102,152.354769,128.2910832,109.0827214,-0.260039138,-2.372451521,2896.154483
-204.9800438,202.2206636,-90.79394328,-1509.062794,-279.6096931,31.95476624,114.4728757,180.4129826,69.29842595,14.61864512,21.9679796,2898.680135
-203.0275574,206.7807498,-84.45465332,-1508.746805,-276.6931343,33.00611747,82.3820568,211.4980004,35.09044085,5.697672556,-18.14663679,2901.203749
-201.0723315,211.322488,-78.05139938,-1508.350327,-273.5257079,34.24470156,55.99143275,217.4976641,8.159700247,-21.7046694,-13.7958166,2903.724266
-199.1345271,215.7830614,-71.79828934,-1507.367659,-270.0947686,35.12668188,28.10451759,214.0769978,-36.35435708,-10.1742892,19.27226547,2906.230366
-197.2032866,220.198459,-65.58046229,-1506.072537,-266.4134746,35.9943993,2.794080298,193.4292515,-92.03455956,38.50589193,-1.666150384,2908.728389
-195.3155267,224.428541,-59.78244954,-1503.517714,-262.3627128,35.461828,-32.93879331,167.1206685,-117.8906058,31.73644358,-7.824411492,2911.194732
-193.474552,228.4614164,-54.43874919,-1499.618681,-257.9331689,33.42469528,-80.13375546,136.1008297,-112.9443762,-24.66807795,17.13706331,2913.627356
-191.6537116,232.3933493,-49.27003048,-1495.054577,-253.1896476,30.82780707,-129.0989618,87.50578782,-92.21098052,-40.80450754,-10.25726051,2916.042732
-189.8620113,236.1897796,-44.36988484,-1489.593773,-248.100673,27.33558463,-182.8916725,23.44095803,-44.87547155,-30.18070208,-17.23719257,2918.435059
-188.06526,240.0460679,-39.40193468,-1484.169454,-243.0292814,25.2259171,-218.9102646,-16.51506781,-10.66720778,-7.507202299,22.13998392,2920.833704
-186.2577448,243.9890901,-34.30810328,-1478.93234,-238.0126534,24.80232335,-233.8989557,-30.65530381,8.322250051,43.50431263,-4.915787086,2923.242912
-184.4625904,247.899425,-29.31954885,-1473.261733,-232.8525769,24.73067699,-240.7409892,-36.70706734,41.06760959,42.11946956,-3.956946425,2925.644271
-182.6697345,251.8333634,-24.33681386,-1467.431029,-227.6503243,25.67080876,-232.7011341,-24.31354444,78.70244414,-15.43320686,3.432884616,2928.046286
-180.8936028,255.6967215,-19.49803733,-1461.035972,-222.2051708,26.50187852,-220.6312998,-20.11076741,89.26677062,-24.22038074,-4.605352848,2930.435214
-179.1361704,259.4796198,-14.82293697,-1454.02356,-216.5002797,27.12426509,-205.2741816,-25.83175486,72.4521003,2.492159841,10.83122377,2932.809515
-177.3814015,263.2785144,-10.15515401,-1446.835465,-210.7240525,28.68355032,-175.0789472,-19.38857756,36.76491317,7.003824196,-7.610721444,2935.183517
-175.6323589,267.0738477,-5.524045328,-1439.386008,-204.8345872,30.95652614,-132.0169299,-6.497353627,-26.47530387,5.094506495,-5.732644852,2937.554351
-173.9250802,270.6844184,-1.291416685,-1430.71226,-198.5426847,31.93222683,-96.17578911,-14.15723188,-56.22597685,5.479878045,10.02002903,2939.893887
-172.2606107,274.1070451,2.531735951,-1420.787795,-191.8467959,31.59338062,-67.53892988,-42.28621994,-48.7808059,1.248021533,-8.490570257,2942.201545
-170.623716,277.4158199,6.099318892,-1410.017108,-184.8576243,30.76765492,-37.48195977,-82.00467532,-41.43147701,-13.00813415,4.732977708,2944.488924
-169.0236821,280.5647852,9.31798046,-1398.152494,-177.5025654,28.95557517,-10.83769206,-140.1944002,-19.16514431,-38.61456675,5.693345335,2946.748858
-167.4356385,283.683922,12.43613429,-1385.86224,-169.9982404,27.63600987,27.5026267,-195.6487105,2.599843986,-23.48613811,-3.89889054,2949.001321
-165.8580927,286.7810523,15.46880958,-1373.186201,-162.3565449,26.90787539,78.75978614,-247.6130875,20.54016771,35.14619824,-12.27747441,2951.247511
-164.3113127,289.7528333,18.21301772,-1359.581452,-154.4087041,25.6234556,131.5758451,-312.5837258,54.43582346,48.845838,15.55693915,2953.471442
-162.7899788,292.6274652,20.72188076,-1345.191057,-146.2016035,24.11322455,189.4972231,-386.1913722,100.7895122,24.65029772,-6.823022623,2955.67743
-161.2433344,295.5672608,23.53330044,-1331.291612,-137.784872,23.41636137,228.0978884,-410.8275895,104.8913038,3.333912916,2.312934114,2957.894446
-159.6687423,298.5763584,26.67664629,-1317.945527,-129.1435245,23.51065612,243.753853,-382.667085,64.51527211,-31.59253841,0.001132883,2960.123499
-158.0864275,301.597997,29.93537699,-1304.650452,-120.2863469,24.14452255,250.5587246,-325.829691,3.401674222,-40.31206231,1.252736021,2962.353948
-156.482474,304.6755584,33.45740574,-1291.755241,-111.2217863,25.58633371,241.2021822,-224.2426908,-92.7952815,-16.36005598,-5.717558885,2964.593608
-154.8912316,307.689761,36.88176981,-1278.387442,-101.8781403,26.96436127,227.2062748,-115.4647669,-138.6646451,4.549141025,5.723132061,2966.821786
-153.3138559,310.6373244,40.19623471,-1264.518061,-92.25462338,28.2702881,209.3775383,-0.790417766,-127.0344798,32.84591037,-5.353726925,2969.037869
-151.7207721,313.6162666,43.71324151,-1250.893753,-82.39281371,30.17807009,175.2973685,152.9887708,-111.2649223,22.29769693,-2.188281672,2971.259129
-150.1185981,316.6033146,47.3634415,-1237.345956,-72.27680213,32.51995513,127.0458661,338.7479883,-69.44004598,-35.63440278,16.6536951,2973.481544
