sub1,sub2,sub3,sub4,sub5
406.6361356,-360.7220836,-235.6868356,-2216.246309,2759.449092
496.8295019,-314.8553999,-246.5938536,-2220.95478,2762.664531
479.8901266,-200.0011267,-246.2980587,-2224.476301,2766.06536
453.7604956,-81.15928741,-235.1336711,-2226.808222,2769.650685
486.2897781,-4.426453295,-213.7941433,-2227.948758,2773.419577
491.6452968,34.22451111,-183.3138815,-2227.896997,2777.37107
490.9361262,66.71268012,-145.0400747,-2226.652899,2781.504167
477.9195351,112.084491,-100.5945606,-2224.2173,2785.817834
457.9054269,163.9913491,-51.8258704,-2220.591909,2790.311003
493.6908577,208.3377821,-0.751902054,-2215.77931,2794.982573
486.8109667,237.5246578,50.50592998,-2209.782961,2799.831407
441.1485101,245.2965972,99.79574613,-2202.607191,2804.856337
434.0731305,221.5842908,145.0136122,-2194.257195,2810.056162
470.1030759,164.2013796,184.184936,-2184.739037,2815.429646
431.1705408,90.95759724,215.5459798,-2174.05964,2820.975522
404.9432774,27.40881598,237.6221972,-2162.226782,2826.692491
411.6271225,-20.58706277,249.2998098,-2149.249091,2832.579221
390.642581,-73.34780236,249.8869109,-2135.136039,2838.63435
376.0377068,-149.8467087,239.1604542,-2119.897934,2844.856482
378.4313037,-237.9853688,217.3957834,-2103.545911,2851.244193
347.680059,-299.5300474,185.3758857,-2086.091924,2857.796027
321.1476856,-304.197754,144.378307,-2067.548736,2864.510497
334.0759565,-253.6907574,96.13862093,-2047.929909,2871.386089
315.9535774,-173.035507,42.79046629,-2027.249792,2878.421256
299.7493511,-86.46365407,-13.21660825,-2005.523511,2885.614423
277.9992409,-5.827291593,-69.21898116,-1982.766955,2892.963987
264.9519506,64.7332228,-122.456728,-1958.996762,2900.468316
282.6066932,123.300309,-170.2024469,-1934.230306,2908.12575
255.9161414,170.2702626,-209.8953228,-1908.485683,2915.934602
235.6959053,206.0465629,-239.2739275,-1881.781697,2923.893156
240.9221645,224.6968959,-256.5008926,-1854.137838,2931.99967
229.518576,215.765905,-260.2725842,-1825.574273,2940.252377
242.4953862,178.9542516,-249.9072933,-1796.111825,2948.649481
