IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,Res
-0.055992126,0.375469391,0.353709916,0.805667959,-1.355079096,1.167795448,-2.423629419,1.416209714,0.246534167,0.512045709,-0.206929095,33.28242456
0.146718577,-0.896378936,-0.428225692,-0.242500797,0.108974055,0.565794039,-1.845675846,1.362428568,0.233539475,0.519172204,-0.198550306,33.29100039
-0.216295537,0.829773203,-0.391826846,-1.141308109,1.432221555,-0.356942536,-0.851319397,1.234468869,0.191610307,0.518622891,-0.195572643,33.29485212
0.281400605,-0.170163901,0.798104129,-0.476754966,1.202539544,-1.124344885,0.317940008,1.025155616,0.114622845,0.503067274,-0.204976671,33.28716911
-0.333372374,-0.641599131,0.156921421,1.206295214,-0.263739656,-1.275253499,1.432339413,0.772768785,0.034415617,0.499053951,-0.201472521,33.29264153
0.334980997,1.000120308,-1.293725477,1.214507053,-1.442555116,-0.738242472,2.22029236,0.472455738,-0.055501746,0.497466379,-0.193686867,33.30288573
-0.275783502,-0.634458586,0.670290339,-0.961489384,-1.140536582,0.175817571,2.473331615,0.114324004,-0.166708439,0.484799169,-0.193955766,33.30613377
0.175216238,-0.197809412,1.297609312,-1.888361267,0.339078598,0.980010229,2.124110936,-0.296337875,-0.303031529,0.45315191,-0.209724347,33.29519233
-0.023538745,0.961551965,-1.781705187,0.45377995,1.529813385,1.295593986,1.288481257,-0.715852912,-0.440767764,0.418573571,-0.225995733,33.28461679
-0.18389803,-1.140518683,-0.387656934,2.415110708,1.190396948,0.972752386,0.179425235,-1.109472994,-0.56748267,0.386348423,-0.238116126,33.27884954
0.426471033,0.541438642,2.456090665,0.286038799,-0.433221915,0.13700419,-0.968424032,-1.472198071,-0.69825026,0.336581443,-0.265389518,33.25899028
-0.627643288,0.576621151,-1.215985191,-2.657667173,-1.673530705,-0.784516013,-1.88796916,-1.779758887,-0.835751524,0.258769595,-0.319289152,33.21325518
0.771359847,-1.444850262,-1.963863999,-1.055646929,-1.057738486,-1.186747113,-2.251782874,-1.906931765,-0.892428475,0.225764177,-0.331830852,33.20742184
-0.949298367,1.247544605,2.560785256,2.50495318,0.696124687,-0.915348627,-2.00241358,-1.83815416,-0.863263646,0.238530373,-0.302256104,33.24222443
1.139211825,-0.067806389,0.365231503,1.637558607,1.478029785,-0.340354682,-1.376379672,-1.685295429,-0.840887895,0.211986164,-0.310754745,33.23985361
-1.206988121,-1.139411017,-2.73046473,-2.025717373,0.608609258,0.252059882,-0.534065136,-1.442566813,-0.813410294,0.155930568,-0.348134072,33.20923114
1.091300615,1.510197303,1.42091176,-1.933400498,-0.628754097,0.766981107,0.45412268,-1.00846398,-0.680362748,0.162197624,-0.32716717,33.23537376
-0.86994529,-0.9576658,1.487208099,1.272237823,-1.089627893,0.882160121,1.261209649,-0.492365883,-0.514877801,0.165411643,-0.31027781,33.25727089
0.61171353,-0.046415591,-2.141452799,1.993176615,-0.494984923,0.544495599,1.683349839,0.049624093,-0.333691293,0.155954618,-0.305317267,33.26785501
-0.341467266,0.887411102,0.101287402,-0.533775497,0.467935495,-0.022562818,1.66582419,0.589102214,-0.130479473,0.144870803,-0.301225287,33.2781349
0.08236889,-1.12572606,1.676799354,-1.801096474,0.854570735,-0.514570306,1.255753942,1.086198159,0.089450133,0.132987459,-0.296862195,33.28935929
0.141935591,0.713728713,-1.09245388,-0.049271148,0.393022727,-0.704524219,0.584046759,1.496401073,0.313271474,0.114890032,-0.297025497,33.29700091
-0.306216382,0.028779579,-0.639720834,1.429389672,-0.339974765,-0.53236651,-0.161027178,1.78558045,0.530817144,0.087821623,-0.304071297,33.2988903
0.407372331,-0.616400342,1.186363319,0.432840645,-0.597933709,-0.109355615,-0.778279618,1.938823675,0.740034814,0.056277219,-0.313632659,33.29935208
-0.452145707,0.725066198,-0.216953964,-0.963350365,-0.247993487,0.330097259,-1.123600459,1.94794954,0.936126469,0.022384529,-0.323503872,33.30067567
0.451757989,-0.384673527,-0.680233138,-0.599464902,0.197181371,0.533365247,-1.16617321,1.790399508,1.091417214,-0.033533845,-0.352561045,33.28445931
-0.376894251,-0.039351066,0.534440306,0.550519633,0.336521087,0.44548963,-0.918185048,1.488127415,1.205093141,-0.108328614,-0.398596121,33.25259553
0.246239557,0.268444258,0.134227338,0.641314918,0.244466326,0.222183374,-0.418066617,1.113390568,1.311412489,-0.167939643,-0.430309186,33.23522463
-0.126587311,-0.294293932,-0.422619956,-0.241028768,0.051894553,-0.015942047,0.174751804,0.696090286,1.406203055,-0.212964553,-0.448931096,33.23098113
0.052353759,0.20535323,0.127718206,-0.619232389,-0.212425392,-0.24126986,0.632007414,0.223419639,1.447774374,-0.278585635,-0.488534829,33.20649024
-0.010643315,-0.056445794,0.243081873,0.071550604,-0.325361681,-0.340950627,0.865754081,-0.238862127,1.462974669,-0.337656237,-0.523708513,33.18648238
-0.014861736,-0.102194337,-0.216032883,0.525303778,-0.185434865,-0.298006019,0.829751671,-0.656235525,1.45281383,-0.388250649,-0.553547155,33.17153313
0.026303223,0.205380495,-0.083391743,0.013549672,0.109153256,-0.16735479,0.546837839,-1.008306265,1.412137741,-0.434088748,-0.582201322,33.15742592
-0.032186468,-0.217629585,0.191930999,-0.416898848,0.349807682,-0.003479333,0.125924897,-1.266475126,1.350390921,-0.465425543,-0.600617089,33.15298973
