sub1,sub2,sub3,sub4,sub5
-440.6505177,23.75616259,-2001.51753,-483.5415572,3255.383443
-330.4908338,21.76637868,-1994.311344,-477.5053891,3257.631188
-236.1516611,9.596712826,-1986.690437,-471.4593868,3259.884772
-131.8908413,-5.87883479,-1978.660542,-465.4039273,3262.144145
-4.032876124,-17.27023483,-1970.226761,-459.3393874,3264.40926
63.04889772,-23.05509822,-1961.377722,-453.2661441,3266.680066
121.1246309,-23.33887488,-1952.097698,-447.1845743,3268.956516
181.9374836,-18.70002415,-1942.370966,-441.0950549,3271.238561
244.0770887,-10.63347821,-1932.181801,-434.9979627,3273.526153
355.9002625,-0.831352464,-1921.514477,-428.8936748,3275.819242
410.8890735,9.018985406,-1910.35327,-422.7825681,3278.117779
406.18559,17.23016771,-1898.682456,-416.6650193,3280.421717
408.2250353,22.54167221,-1886.486309,-410.5414056,3282.731007
416.5254613,25.77221022,-1873.751167,-404.4121036,3285.045599
326.7843105,29.19031879,-1860.472585,-398.2774905,3287.365446
250.1910346,33.34845328,-1846.652043,-392.1379431,3289.690498
213.584764,36.35035643,-1832.291989,-385.9938382,3292.020707
141.1967222,32.36788126,-1817.395074,-379.8455529,3294.356024
52.43334514,16.83848026,-1801.964761,-373.693464,3296.6964
-29.28078897,-10.67833321,-1786.004716,-367.5379484,3299.041787
-127.0975021,-38.16664558,-1769.518606,-361.3793831,3301.392136
-187.5125411,-50.21661835,-1752.510095,-355.2181449,3303.747399
-185.4363563,-36.65370959,-1734.98285,-349.0546108,3306.107526
-199.8997497,-11.8630258,-1716.940537,-342.8891577,3308.47247
-203.7936858,8.220489206,-1698.386822,-336.7221625,3310.842181
-201.7757989,11.58856132,-1679.325371,-330.554002,3313.21661
-174.6434469,-8.107359917,-1659.75985,-324.3850533,3315.59571
-117.3983153,-33.07149749,-1639.693925,-318.2156933,3317.979431
-122.1478523,-43.30231155,-1619.131262,-312.0462987,3320.367724
-127.4219121,-46.80585635,-1598.075527,-305.8772467,3322.760542
-106.3989353,-55.5386001,-1576.531386,-299.7089139,3325.157835
-117.2717281,-62.54864724,-1554.507502,-293.5416775,3327.559554
-124.3191107,-62.17708867,-1532.013538,-287.3759142,3329.965652
-173.0250754,-51.28984319,-1509.059159,-281.2120011,3332.376079
-191.8872038,-25.66924018,-1485.654027,-275.0503149,3334.790786
-165.6781506,12.72746382,-1461.807806,-268.8912327,3337.209725
-124.944577,32.16701906,-1437.530159,-262.7351313,3339.632848
-115.4032865,3.63631783,-1412.830749,-256.5823877,3342.060105
-44.33834194,-64.10048804,-1387.719239,-250.4333787,3344.491448
2.606885211,-146.8999382,-1362.205294,-244.2884812,3346.926828
68.24000474,-219.0795535,-1336.298576,-238.1480723,3349.366197
121.3470035,-260.1951982,-1310.008782,-232.0125288,3351.809506
184.8956954,-243.3739951,-1283.346178,-225.8822275,3354.256705
240.8785143,-174.4059158,-1256.322801,-219.7575455,3356.707748
275.845272,-81.5278761,-1228.95112,-213.6388596,3359.162584
325.0881984,9.660790411,-1201.243607,-207.5265467,3361.621165
319.3750957,89.52517781,-1173.212732,-201.4209838,3364.083442
376.7804613,156.2536849,-1144.870966,-195.3225477,3366.549368
333.2332997,212.7302035,-1116.23078,-189.2316154,3369.018892
