utc_timestamp,cet_cest_timestamp,DE_tennet_wind_offshore_generation_actual
2020-01-01T00:00:00Z,2020-01-01T01:00:00+0100,353.43
2020-01-01T00:15:00Z,2020-01-01T01:15:00+0100,477.09
2020-01-01T00:30:00Z,2020-01-01T01:30:00+0100,575.18
2020-01-01T00:45:00Z,2020-01-01T01:45:00+0100,680.31
2020-01-01T01:00:00Z,2020-01-01T02:00:00+0100,813.54
2020-01-01T01:15:00Z,2020-01-01T02:15:00+0100,892.03
2020-01-01T01:30:00Z,2020-01-01T02:30:00+0100,967.46
2020-01-01T01:45:00Z,2020-01-01T02:45:00+0100,1051.01
2020-01-01T02:00:00Z,2020-01-01T03:00:00+0100,1139.79
2020-01-01T02:15:00Z,2020-01-01T03:15:00+0100,1280.48
2020-01-01T02:30:00Z,2020-01-01T03:30:00+0100,1364.89
2020-01-01T02:45:00Z,2020-01-01T03:45:00+0100,1388.49
2020-01-01T03:00:00Z,2020-01-01T04:00:00+0100,1416.47
2020-01-01T03:15:00Z,2020-01-01T04:15:00+0100,1449.18
2020-01-01T03:30:00Z,2020-01-01T04:30:00+0100,1384.59
2020-01-01T03:45:00Z,2020-01-01T04:45:00+0100,1334.44
2020-01-01T04:00:00Z,2020-01-01T05:00:00+0100,1323.67
2020-01-01T04:15:00Z,2020-01-01T05:15:00+0100,1270.68
2020-01-01T04:30:00Z,2020-01-01T05:30:00+0100,1190.31
2020-01-01T04:45:00Z,2020-01-01T05:45:00+0100,1105.54
2020-01-01T05:00:00Z,2020-01-01T06:00:00+0100,1005.23
2020-01-01T05:15:00Z,2020-01-01T06:15:00+0100,958.29
2020-01-01T05:30:00Z,2020-01-01T06:30:00+0100,999.98
2020-01-01T05:45:00Z,2020-01-01T06:45:00+0100,1036.88
2020-01-01T06:00:00Z,2020-01-01T07:00:00+0100,1080.16
2020-01-01T06:15:00Z,2020-01-01T07:15:00+0100,1113.15
2020-01-01T06:30:00Z,2020-01-01T07:30:00+0100,1148.7
2020-01-01T06:45:00Z,2020-01-01T07:45:00+0100,1209.6
2020-01-01T07:00:00Z,2020-01-01T08:00:00+0100,1223.74
2020-01-01T07:15:00Z,2020-01-01T08:15:00+0100,1244.58
2020-01-01T07:30:00Z,2020-01-01T08:30:00+0100,1286.98
2020-01-01T07:45:00Z,2020-01-01T08:45:00+0100,1299.69
2020-01-01T08:00:00Z,2020-01-01T09:00:00+0100,1324.08
2020-01-01T08:15:00Z,2020-01-01T09:15:00+0100,1317.79
2020-01-01T08:30:00Z,2020-01-01T09:30:00+0100,1356.53
2020-01-01T08:45:00Z,2020-01-01T09:45:00+0100,1453.56
2020-01-01T09:00:00Z,2020-01-01T10:00:00+0100,1546.59
2020-01-01T09:15:00Z,2020-01-01T10:15:00+0100,1560.88
2020-01-01T09:30:00Z,2020-01-01T10:30:00+0100,1597.9
2020-01-01T09:45:00Z,2020-01-01T10:45:00+0100,1596.14
2020-01-01T10:00:00Z,2020-01-01T11:00:00+0100,1624.08
2020-01-01T10:15:00Z,2020-01-01T11:15:00+0100,1670.94
2020-01-01T10:30:00Z,2020-01-01T11:30:00+0100,1786.55
2020-01-01T10:45:00Z,2020-01-01T11:45:00+0100,1947.1
2020-01-01T11:00:00Z,2020-01-01T12:00:00+0100,2110.89
2020-01-01T11:15:00Z,2020-01-01T12:15:00+0100,2287.6
2020-01-01T11:30:00Z,2020-01-01T12:30:00+0100,2398.35
2020-01-01T11:45:00Z,2020-01-01T12:45:00+0100,2559.39
2020-01-01T12:00:00Z,2020-01-01T13:00:00+0100,2609.52
2020-01-01T12:15:00Z,2020-01-01T13:15:00+0100,2623.66
2020-01-01T12:30:00Z,2020-01-01T13:30:00+0100,2645.2
2020-01-01T12:45:00Z,2020-01-01T13:45:00+0100,2522.32
2020-01-01T13:00:00Z,2020-01-01T14:00:00+0100,2413.35
2020-01-01T13:15:00Z,2020-01-01T14:15:00+0100,2304.7
2020-01-01T13:30:00Z,2020-01-01T14:30:00+0100,2262.57
2020-01-01T13:45:00Z,2020-01-01T14:45:00+0100,2257.43
2020-01-01T14:00:00Z,2020-01-01T15:00:00+0100,2180.71
2020-01-01T14:15:00Z,2020-01-01T15:15:00+0100,2002.45
2020-01-01T14:30:00Z,2020-01-01T15:30:00+0100,1883.04
2020-01-01T14:45:00Z,2020-01-01T15:45:00+0100,1848.81
2020-01-01T15:00:00Z,2020-01-01T16:00:00+0100,1825.35
2020-01-01T15:15:00Z,2020-01-01T16:15:00+0100,1895.98
2020-01-01T15:30:00Z,2020-01-01T16:30:00+0100,2069.32
2020-01-01T15:45:00Z,2020-01-01T16:45:00+0100,2191.03
2020-01-01T16:00:00Z,2020-01-01T17:00:00+0100,2362.66
2020-01-01T16:15:00Z,2020-01-01T17:15:00+0100,2604.61
2020-01-01T16:30:00Z,2020-01-01T17:30:00+0100,2950.05
2020-01-01T16:45:00Z,2020-01-01T17:45:00+0100,3095.73
2020-01-01T17:00:00Z,2020-01-01T18:00:00+0100,3176.06
2020-01-01T17:15:00Z,2020-01-01T18:15:00+0100,3398.45
2020-01-01T17:30:00Z,2020-01-01T18:30:00+0100,3562.06
2020-01-01T17:45:00Z,2020-01-01T18:45:00+0100,3750.22
2020-01-01T18:00:00Z,2020-01-01T19:00:00+0100,3801.13
2020-01-01T18:15:00Z,2020-01-01T19:15:00+0100,3785.38
2020-01-01T18:30:00Z,2020-01-01T19:30:00+0100,3743.84
2020-01-01T18:45:00Z,2020-01-01T19:45:00+0100,3692.65
2020-01-01T19:00:00Z,2020-01-01T20:00:00+0100,3701.65
2020-01-01T19:15:00Z,2020-01-01T20:15:00+0100,3590.02
2020-01-01T19:30:00Z,2020-01-01T20:30:00+0100,3511.21
2020-01-01T19:45:00Z,2020-01-01T20:45:00+0100,3377.59
2020-01-01T20:00:00Z,2020-01-01T21:00:00+0100,3318.2
2020-01-01T20:15:00Z,2020-01-01T21:15:00+0100,3382.1
2020-01-01T20:30:00Z,2020-01-01T21:30:00+0100,3380.98
2020-01-01T20:45:00Z,2020-01-01T21:45:00+0100,3478.33
2020-01-01T21:00:00Z,2020-01-01T22:00:00+0100,3362.26
2020-01-01T21:15:00Z,2020-01-01T22:15:00+0100,3215.9
2020-01-01T21:30:00Z,2020-01-01T22:30:00+0100,3210.56
2020-01-01T21:45:00Z,2020-01-01T22:45:00+0100,3242.22
2020-01-01T22:00:00Z,2020-01-01T23:00:00+0100,3238.27
2020-01-01T22:15:00Z,2020-01-01T23:15:00+0100,3230.29
2020-01-01T22:30:00Z,2020-01-01T23:30:00+0100,3231.56
2020-01-01T22:45:00Z,2020-01-01T23:45:00+0100,3332.15
2020-01-01T23:00:00Z,2020-01-02T00:00:00+0100,3475.26
2020-01-01T23:15:00Z,2020-01-02T00:15:00+0100,3603.03
2020-01-01T23:30:00Z,2020-01-02T00:30:00+0100,3581.94
2020-01-01T23:45:00Z,2020-01-02T00:45:00+0100,3530.41
2020-01-02T00:00:00Z,2020-01-02T01:00:00+0100,3627.14
2020-01-02T00:15:00Z,2020-01-02T01:15:00+0100,3726.89
2020-01-02T00:30:00Z,2020-01-02T01:30:00+0100,3816.96
2020-01-02T00:45:00Z,2020-01-02T01:45:00+0100,3913.94
2020-01-02T01:00:00Z,2020-01-02T02:00:00+0100,4080.02
2020-01-02T01:15:00Z,2020-01-02T02:15:00+0100,4268.53
2020-01-02T01:30:00Z,2020-01-02T02:30:00+0100,4393.04
2020-01-02T01:45:00Z,2020-01-02T02:45:00+0100,4400.59
2020-01-02T02:00:00Z,2020-01-02T03:00:00+0100,4449.58
2020-01-02T02:15:00Z,2020-01-02T03:15:00+0100,4475.84
2020-01-02T02:30:00Z,2020-01-02T03:30:00+0100,4502
2020-01-02T02:45:00Z,2020-01-02T03:45:00+0100,4560.36
2020-01-02T03:00:00Z,2020-01-02T04:00:00+0100,4569.59
2020-01-02T03:15:00Z,2020-01-02T04:15:00+0100,4532.3
2020-01-02T03:30:00Z,2020-01-02T04:30:00+0100,4488.23
2020-01-02T03:45:00Z,2020-01-02T04:45:00+0100,4432.99
2020-01-02T04:00:00Z,2020-01-02T05:00:00+0100,4381.99
2020-01-02T04:15:00Z,2020-01-02T05:15:00+0100,4366.46
2020-01-02T04:30:00Z,2020-01-02T05:30:00+0100,4353.64
2020-01-02T04:45:00Z,2020-01-02T05:45:00+0100,4407.38
2020-01-02T05:00:00Z,2020-01-02T06:00:00+0100,4492.1
2020-01-02T05:15:00Z,2020-01-02T06:15:00+0100,4596.8
2020-01-02T05:30:00Z,2020-01-02T06:30:00+0100,4669.51
2020-01-02T05:45:00Z,2020-01-02T06:45:00+0100,4692.39
2020-01-02T06:00:00Z,2020-01-02T07:00:00+0100,4658.29
2020-01-02T06:15:00Z,2020-01-02T07:15:00+0100,4664.22
2020-01-02T06:30:00Z,2020-01-02T07:30:00+0100,4617.06
2020-01-02T06:45:00Z,2020-01-02T07:45:00+0100,4601.61
2020-01-02T07:00:00Z,2020-01-02T08:00:00+0100,4578.8
2020-01-02T07:15:00Z,2020-01-02T08:15:00+0100,4625.92
2020-01-02T07:30:00Z,2020-01-02T08:30:00+0100,4649.75
2020-01-02T07:45:00Z,2020-01-02T08:45:00+0100,4772.59
2020-01-02T08:00:00Z,2020-01-02T09:00:00+0100,5047.55
2020-01-02T08:15:00Z,2020-01-02T09:15:00+0100,5206.11
2020-01-02T08:30:00Z,2020-01-02T09:30:00+0100,5248
2020-01-02T08:45:00Z,2020-01-02T09:45:00+0100,5073.97
2020-01-02T09:00:00Z,2020-01-02T10:00:00+0100,5091.93
2020-01-02T09:15:00Z,2020-01-02T10:15:00+0100,5334.97
2020-01-02T09:30:00Z,2020-01-02T10:30:00+0100,5436.59
2020-01-02T09:45:00Z,2020-01-02T10:45:00+0100,5554.85
2020-01-02T10:00:00Z,2020-01-02T11:00:00+0100,5658.59
2020-01-02T10:15:00Z,2020-01-02T11:15:00+0100,5712.58
2020-01-02T10:30:00Z,2020-01-02T11:30:00+0100,5737.87
2020-01-02T10:45:00Z,2020-01-02T11:45:00+0100,5747.88
2020-01-02T11:00:00Z,2020-01-02T12:00:00+0100,5717.26
2020-01-02T11:15:00Z,2020-01-02T12:15:00+0100,5749.94
2020-01-02T11:30:00Z,2020-01-02T12:30:00+0100,5775.71
2020-01-02T11:45:00Z,2020-01-02T12:45:00+0100,5728.83
2020-01-02T12:00:00Z,2020-01-02T13:00:00+0100,5737.03
2020-01-02T12:15:00Z,2020-01-02T13:15:00+0100,5751.8
2020-01-02T12:30:00Z,2020-01-02T13:30:00+0100,5788.37
2020-01-02T12:45:00Z,2020-01-02T13:45:00+0100,5801.37
2020-01-02T13:00:00Z,2020-01-02T14:00:00+0100,5861.41
2020-01-02T13:15:00Z,2020-01-02T14:15:00+0100,5898.56
2020-01-02T13:30:00Z,2020-01-02T14:30:00+0100,5879.62
2020-01-02T13:45:00Z,2020-01-02T14:45:00+0100,5861.92
2020-01-02T14:00:00Z,2020-01-02T15:00:00+0100,5748.44
2020-01-02T14:15:00Z,2020-01-02T15:15:00+0100,5816.63
2020-01-02T14:30:00Z,2020-01-02T15:30:00+0100,5876.02
2020-01-02T14:45:00Z,2020-01-02T15:45:00+0100,5902.96
2020-01-02T15:00:00Z,2020-01-02T16:00:00+0100,5915.01
2020-01-02T15:15:00Z,2020-01-02T16:15:00+0100,5923.63
2020-01-02T15:30:00Z,2020-01-02T16:30:00+0100,5938.29
2020-01-02T15:45:00Z,2020-01-02T16:45:00+0100,5953.6
2020-01-02T16:00:00Z,2020-01-02T17:00:00+0100,5951.01
2020-01-02T16:15:00Z,2020-01-02T17:15:00+0100,5957.73
2020-01-02T16:30:00Z,2020-01-02T17:30:00+0100,5952.74
2020-01-02T16:45:00Z,2020-01-02T17:45:00+0100,5946.8
2020-01-02T17:00:00Z,2020-01-02T18:00:00+0100,5965.08
2020-01-02T17:15:00Z,2020-01-02T18:15:00+0100,5971.55
2020-01-02T17:30:00Z,2020-01-02T18:30:00+0100,5989.44
2020-01-02T17:45:00Z,2020-01-02T18:45:00+0100,6001.23
2020-01-02T18:00:00Z,2020-01-02T19:00:00+0100,6014.53
2020-01-02T18:15:00Z,2020-01-02T19:15:00+0100,6016.25
2020-01-02T18:30:00Z,2020-01-02T19:30:00+0100,6015.22
2020-01-02T18:45:00Z,2020-01-02T19:45:00+0100,6011.72
2020-01-02T19:00:00Z,2020-01-02T20:00:00+0100,6004.33
2020-01-02T19:15:00Z,2020-01-02T20:15:00+0100,6007.86
2020-01-02T19:30:00Z,2020-01-02T20:30:00+0100,6025.08
2020-01-02T19:45:00Z,2020-01-02T20:45:00+0100,6028.26
2020-01-02T20:00:00Z,2020-01-02T21:00:00+0100,6011.35
2020-01-02T20:15:00Z,2020-01-02T21:15:00+0100,6028.67
2020-01-02T20:30:00Z,2020-01-02T21:30:00+0100,6035.75
2020-01-02T20:45:00Z,2020-01-02T21:45:00+0100,5751.5
2020-01-02T21:00:00Z,2020-01-02T22:00:00+0100,5737.9
2020-01-02T21:15:00Z,2020-01-02T22:15:00+0100,5723.91
2020-01-02T21:30:00Z,2020-01-02T22:30:00+0100,5730.24
2020-01-02T21:45:00Z,2020-01-02T22:45:00+0100,5733.37
2020-01-02T22:00:00Z,2020-01-02T23:00:00+0100,5735.26
2020-01-02T22:15:00Z,2020-01-02T23:15:00+0100,5739.31
2020-01-02T22:30:00Z,2020-01-02T23:30:00+0100,5735.73
2020-01-02T22:45:00Z,2020-01-02T23:45:00+0100,5727.6
2020-01-02T23:00:00Z,2020-01-03T00:00:00+0100,5726.48
2020-01-02T23:15:00Z,2020-01-03T00:15:00+0100,5735.22
2020-01-02T23:30:00Z,2020-01-03T00:30:00+0100,5734.55
2020-01-02T23:45:00Z,2020-01-03T00:45:00+0100,5738.54
2020-01-03T00:00:00Z,2020-01-03T01:00:00+0100,5741.08
2020-01-03T00:15:00Z,2020-01-03T01:15:00+0100,5739.46
2020-01-03T00:30:00Z,2020-01-03T01:30:00+0100,5739.97
2020-01-03T00:45:00Z,2020-01-03T01:45:00+0100,5736.6
2020-01-03T01:00:00Z,2020-01-03T02:00:00+0100,5732.03
2020-01-03T01:15:00Z,2020-01-03T02:15:00+0100,5738.74
2020-01-03T01:30:00Z,2020-01-03T02:30:00+0100,5674.92
2020-01-03T01:45:00Z,2020-01-03T02:45:00+0100,5625.62
2020-01-03T02:00:00Z,2020-01-03T03:00:00+0100,5616.66
2020-01-03T02:15:00Z,2020-01-03T03:15:00+0100,5616.72
2020-01-03T02:30:00Z,2020-01-03T03:30:00+0100,5617.13
2020-01-03T02:45:00Z,2020-01-03T03:45:00+0100,5615.81
2020-01-03T03:00:00Z,2020-01-03T04:00:00+0100,5620.68
2020-01-03T03:15:00Z,2020-01-03T04:15:00+0100,5614.49
2020-01-03T03:30:00Z,2020-01-03T04:30:00+0100,5606.7
2020-01-03T03:45:00Z,2020-01-03T04:45:00+0100,5607.8
2020-01-03T04:00:00Z,2020-01-03T05:00:00+0100,5606.38
2020-01-03T04:15:00Z,2020-01-03T05:15:00+0100,5606.19
2020-01-03T04:30:00Z,2020-01-03T05:30:00+0100,5611.5
2020-01-03T04:45:00Z,2020-01-03T05:45:00+0100,5607.57
2020-01-03T05:00:00Z,2020-01-03T06:00:00+0100,5606.23
2020-01-03T05:15:00Z,2020-01-03T06:15:00+0100,5612.44
2020-01-03T05:30:00Z,2020-01-03T06:30:00+0100,5622.85
2020-01-03T05:45:00Z,2020-01-03T06:45:00+0100,5622.01
2020-01-03T06:00:00Z,2020-01-03T07:00:00+0100,5618.01
2020-01-03T06:15:00Z,2020-01-03T07:15:00+0100,5594.42
2020-01-03T06:30:00Z,2020-01-03T07:30:00+0100,5545.68
2020-01-03T06:45:00Z,2020-01-03T07:45:00+0100,5467.44
2020-01-03T07:00:00Z,2020-01-03T08:00:00+0100,5458.17
