Power,100mspd,10mspd,Pre,Hum,Cloud,10mdir,Temp,Irra,Rain,100mdir
33.6,12.0726,10.0736,102546.3808,97.9398,1,14.0263,284.6388,0,0,15.2061
32.86,11.9453,9.956,102539.6798,97.5816,1,13.7344,284.652,0,0,14.9341
35.24,11.8082,9.8246,102533.9162,96.2479,1,13.432,284.6579,0,1.49E-06,14.6339
34.54,11.679,9.7028,102528.1719,94.5477,1,13.1704,284.6581,0,7.63E-06,14.3557
34.55,11.571,9.6077,102521.6822,92.9896,1,12.9862,284.6542,0,1.06E-05,14.1368
35.59,11.4801,9.5324,102514.2974,91.6797,1,12.8385,284.6472,0,1.01E-05,13.95
34.78,11.398,9.464,102506.0218,90.6239,1,12.664,284.6382,0,9.27E-06,13.7494
35.62,11.3166,9.3896,102496.8594,89.8276,1,12.3965,284.6281,0,7.63E-06,13.4874
35.78,11.2308,9.3012,102486.942,89.2908,1,11.9911,284.618,0,6.83E-06,13.1332
35.35,11.1466,9.2087,102476.9127,88.9896,1,11.5,284.6093,0,6.97E-06,12.731
35.56,11.0725,9.1262,102467.5423,88.8942,1,11.0053,284.604,0,7.19E-06,12.3466
19.75758627,11.0169,9.0673,102459.6016,88.975,1,10.595,284.6036,0,7.63E-06,12.049
19.67652647,10.9861,9.042,102453.6887,89.1782,1,10.3416,284.6088,0,7.84E-06,11.893
35.86,10.9807,9.0471,102449.7111,89.3535,1,10.2405,284.6152,0,7.81E-06,11.8712
35.63,11,9.0763,102447.4033,89.3269,1,10.2647,284.6175,0,7.75E-06,11.9586
19.82680292,11.0432,9.1233,102446.5,88.9241,1,10.385,284.6102,0,7.63E-06,12.1291
35.01,11.1082,9.1817,102446.8074,88.0414,1,10.5813,284.5907,0,7.57E-06,12.3642
34.51,11.1861,9.2431,102448.4179,86.8568,1,10.8701,284.5677,0,7.57E-06,12.6797
35.06,11.2668,9.2991,102451.4952,85.6186,1,11.2776,284.5526,0,7.60E-06,13.1
35.65,11.3403,9.3413,102456.2031,84.5753,1,11.831,284.5568,0,7.63E-06,13.6499
34.98,11.4,9.3654,102462.6214,83.9123,1,12.5398,284.5876,0,7.64E-06,14.3368
35.17,11.4507,9.3819,102470.4933,83.5621,1,13.3358,284.6357,0,7.63E-06,15.0935
35.02,11.4998,9.4046,102479.478,83.3944,1,14.1277,284.688,0,7.63E-06,15.8343
35.39,11.5534,9.4463,102489.2344,83.2787,1,14.8212,284.731,0,7.63E-06,16.4732
34.97,11.6153,9.5142,102499.5164,83.1166,1,15.3527,284.7552,0,7.63E-06,16.9541
35.07,11.6819,9.596,102510.4564,82.9374,1,15.7898,284.7671,0,7.63E-06,17.3396
35.14,11.7484,9.6749,102522.2815,82.8025,1,16.2336,284.7766,0,7.63E-06,17.721
35.38,11.8103,9.7348,102535.2188,82.7732,1,16.7852,284.794,0.28444,7.63E-06,18.1881
35.34,11.8645,9.766,102549.2596,82.8815,1,17.5094,284.8261,3.1595,7.63E-06,18.7956
33.53,11.9108,9.7812,102563.4526,83.0418,1,18.3214,284.8669,8.0747,7.63E-06,19.4622
33.8,11.9484,9.7982,102576.6107,83.1392,1,19.0956,284.9071,15.4236,7.63E-06,20.0744
33.59,11.9758,9.8333,102587.5469,83.0586,1,19.7019,284.9372,25.6,7.63E-06,20.5201
