sub1,sub2,sub3,100mspd,10mspd
2.148315118,-2.259636224,33.71132111,12.0726,10.0736
-0.897107439,-0.276356518,34.03346396,11.9453,9.956
-0.321475926,0.787065145,34.77441078,11.8082,9.8246
-1.166802575,-0.007817136,35.71461971,11.679,9.7028
0.672317983,-2.679564352,36.55724637,11.571,9.6077
1.698968444,-3.114196699,37.00522826,11.4801,9.5324
-0.025225114,-2.034102985,36.8393281,11.398,9.464
-2.16250779,1.804921447,35.97758634,11.3166,9.3896
-1.161042803,2.439713101,34.5013297,11.2308,9.3012
2.691172634,0.017572265,32.6412551,11.1466,9.2087
2.569432183,2.263530393,30.72703742,11.0725,9.1262
-4.005724602,-5.349590672,29.11290154,11.0169,9.0673
-1.273224625,-7.147663824,28.09741492,10.9861,9.042
0.580373078,7.422653006,27.85697392,10.9807,9.0471
5.844818349,1.376361184,28.40882047,11,9.0763
-4.382353181,-5.402748366,29.61190447,11.0432,9.1233
-1.762167687,5.567729175,31.20443851,11.1082,9.1817
-0.277295603,1.919313151,32.86798245,11.1861,9.2431
4.861986148,-4.10359499,34.30160884,11.2668,9.2991
-1.227534931,1.589852734,35.2876822,11.3403,9.3413
-3.360020564,2.606545804,35.73347476,11.4,9.3654
0.57206786,-1.081538513,35.67947065,11.4507,9.3819
2.284358306,-2.538366452,35.27400815,11.4998,9.4046
0.414712147,0.252720321,34.72256753,11.5534,9.4463
-2.331291809,3.075008004,34.2262838,11.6153,9.5142
0.061760031,1.081690541,33.92654943,11.6819,9.596
1.602969461,-0.333305189,33.87033573,11.7484,9.6749
-0.437333611,1.812569554,34.00476406,11.8103,9.7348
-0.749848404,1.888663295,34.20118511,11.8645,9.766
0.19492526,-0.965761177,34.30083592,11.9108,9.7812
0.970577376,-1.338846194,34.16826882,11.9484,9.7982
-0.79132228,0.644538609,33.73678367,11.9758,9.8333
-0.647420228,0.234846342,33.03257389,11.9918,9.8965
0.778775254,-0.959300915,32.17052566,11.9983,9.9743
0.733302082,0.633847745,31.32285017,11.9987,10.0483
-0.7418833,1.702219949,30.66966335,11.9966,10.1002
-0.94794118,0.271943611,30.34599757,11.994,10.1165
0.97052077,-0.69148587,30.4009651,11.9869,10.1012
0.372043983,-0.433517095,30.78147311,11.9692,10.0626
-0.03063524,0.554749596,31.34588564,11.935,10.009
-1.071402277,0.407112616,31.90428966,11.8815,9.9483
0.550584367,-1.334633993,32.27404963,11.8193,9.8891
0.408595459,-1.273072159,32.3344767,11.7628,9.8402
-0.319632065,-0.984576142,32.06420821,11.7265,9.8107
0.021770937,-1.231274693,31.54950376,11.7201,9.8064
-0.011598204,0.131676644,30.95992156,11.7327,9.8181
0.069780021,0.712782334,30.49743764,11.7457,9.831
-0.09721334,1.043982184,30.33323116,11.7403,9.8297
-0.472026931,0.481405005,30.55062193,11.7039,9.8035
0.976736027,-1.478346115,31.11161009,11.6395,9.753
0.01986192,-0.538101992,31.85824007,11.5482,9.6765
-0.843087228,-0.16714822,32.55023545,11.4239,9.5659
-0.04027042,-1.269504105,32.92977453,11.265,9.4184
-0.158179638,-1.037797871,32.79597751,11.0988,9.2612
1.535984628,-1.644145975,32.06816135,10.9576,9.127
0.034657237,0.995981675,30.81936109,10.8668,9.0425
-2.481862655,3.762396302,29.26946635,10.845,9.0266
1.105568418,1.316010548,27.73842103,10.8936,9.0748
0.018087566,2.370790332,26.5711221,11.0065,9.1728
2.145830915,2.190482806,26.05368628,11.1691,9.2981
-1.173624362,-4.493824771,26.34327453,11.3658,9.4299
-3.19944576,-2.958020023,27.42992291,11.5925,9.5681
2.809262952,3.520816747,29.1399203,11.8469,9.7179
0.407585848,2.253591238,31.17882291,12.1217,9.8794
