sub1,sub2,sub3,sub4,sub5,100mspd,10mspd
0.168540296,-0.436123477,1.159377876,-0.055992126,33.28242456,12.0726,10.0736
-1.094929242,0.944232495,-0.670726489,0.146718577,33.29100039,11.9453,9.956
0.63420056,2.168661689,-1.533134956,-0.216295537,33.29485212,11.8082,9.8246
-0.375140572,2.038980401,0.321349163,0.281400605,33.28716911,11.679,9.7028
-0.843071652,1.199584611,1.363216635,-0.333372374,33.29264153,11.571,9.6077
0.806433442,0.953915145,-0.079218425,0.334980997,33.30288573,11.4801,9.5324
-0.828414352,1.941027337,-0.291199045,-0.275783502,33.30613377,11.398,9.464
-0.407533759,3.29698227,-0.590751955,0.175216238,33.29519233,11.3166,9.3896
0.735556232,3.375841524,-1.327925237,-0.023538745,33.28461679,11.2308,9.3012
-1.378634809,1.051967327,2.027453774,-0.18389803,33.27884954,11.1466,9.2087
0.276049124,-3.098508645,2.742129464,0.426471033,33.25899028,11.0725,9.1262
0.257331999,-6.702756694,-3.873652364,-0.627643288,33.21325518,11.0169,9.0673
-1.776681114,-7.069864536,-3.019510928,0.771359847,33.20742184,10.9861,9.042
0.945288501,-4.684524955,5.065738436,-0.949298367,33.24222443,10.9807,9.0471
-0.378561135,-2.552901729,2.00279011,1.139211825,33.23985361,11,9.0763
-1.487545089,-1.773442536,-4.756182104,-1.206988121,33.20923114,11.0432,9.1233
1.183030133,-0.934279414,-0.512488738,1.091300615,33.23537376,11.1082,9.1817
-1.26794361,0.211909836,2.759445922,-0.86994529,33.25727089,11.1861,9.2431
-0.351732857,1.604747933,-0.148276184,0.61171353,33.26785501,11.2668,9.2991
0.586185815,2.71469041,-0.432488095,-0.341467266,33.2781349,11.3403,9.3413
-1.422588255,2.904390123,-0.12429712,0.08236889,33.28935929,11.4,9.3654
0.416703215,2.197107846,-1.141725028,0.141935591,33.29700091,11.4507,9.3819
-0.275291718,1.370850764,0.789668838,-0.306216382,33.2988903,11.4998,9.4046
-0.930033001,1.249566767,1.619203965,0.407372331,33.29935208,11.5534,9.4463
0.401562326,1.86496385,-1.18030433,-0.452145707,33.30067567,11.6153,9.5142
-0.737234572,2.412656285,-1.27969804,0.451757989,33.28445931,11.6819,9.596
-0.437947188,2.448717612,1.08495994,-0.376894251,33.25259553,11.7484,9.6749
-0.161864928,2.305446496,0.775542256,0.246239557,33.23522463,11.8103,9.7348
-0.743225028,2.100033097,-0.663648724,-0.126587311,33.23098113,11.8645,9.766
-0.283181599,1.570920541,-0.491514183,0.052353759,33.20649024,11.9108,9.7812
-0.580154307,1.085898078,0.314632477,-0.010643315,33.18648238,11.9484,9.7982
-0.655741491,0.754638443,0.309270894,-0.014861736,33.17153313,11.9758,9.8333
-0.376820827,0.458379033,-0.069842071,0.026303223,33.15742592,11.9918,9.8965
-0.818246674,0.090743499,-0.224967848,-0.032186468,33.15298973,11.9983,9.9743
-0.511154657,-0.578821992,-0.119304592,0.017246942,33.15083198,11.9987,10.0483
-0.560430937,-1.544119961,0.196480924,0.025088994,33.13669897,11.9966,10.1002
-0.883369186,-2.240611654,0.237146919,-0.065755453,33.11618403,11.994,10.1165
-0.526401828,-2.131245356,-0.166176816,0.090734718,33.10182394,11.9869,10.1012
-0.799157171,-1.448424303,-0.241387965,-0.10178065,33.08323914,11.9692,10.0626
-0.821614871,-0.750004186,0.168784714,0.107769544,33.05974995,11.935,10.009
-0.722570704,-0.463800211,0.099390679,-0.100733451,33.03569355,11.8815,9.9483
