sub1,sub2,sub3,sub4,sub5,100mspd,10mspd
5.158077727,-0.183344686,0.587354215,-0.006465401,28.04437815,12.0726,10.0736
5.147766237,0.072403654,-0.747711577,0.358444278,28.02909741,11.9453,9.956
5.137464015,-0.094683469,1.222598437,0.960841754,28.01377926,11.8082,9.8246
5.127208207,-0.536365835,0.171827394,1.778909546,27.99842069,11.679,9.7028
5.116576725,-1.284285091,-0.158105775,2.892759109,27.98305503,11.571,9.6077
5.105691507,-2.507962133,0.689031168,4.335566915,27.96767254,11.4801,9.5324
5.096609499,-2.679507005,-0.116538267,4.526975957,27.95245982,11.398,9.464
5.089495187,-1.74039895,0.988738149,3.344725896,27.93743972,11.3166,9.3896
5.083473858,1.018493478,0.18303994,1.572474689,27.92251804,11.2308,9.3012
5.079132355,6.124673432,-2.540576046,-1.220979788,27.90775005,11.1466,9.2087
5.075192631,2.663623547,2.835440321,-2.907293385,27.89303688,11.0725,9.1262
5.071619837,-9.985480933,0.092017555,-3.298944691,27.8783745,11.0169,9.0673
5.069588337,-8.862108243,-0.5996437,-3.795173107,27.86386318,10.9861,9.042
5.068867337,5.003199786,1.793835636,-3.855388485,27.84948573,10.9807,9.0471
5.068136543,5.774803405,0.481473045,-3.529509047,27.83509606,11,9.0763
5.06745651,-3.377073151,-6.785731077,-2.89854665,27.82069729,11.0432,9.1233
5.067339578,-3.603733884,7.224281029,-1.484238143,27.80635142,11.1082,9.1817
5.067491745,1.542644173,-0.61945519,0.727294462,27.79202481,11.1861,9.2431
5.069047344,2.064479029,-1.687479836,1.836119524,27.77783394,11.2668,9.2991
5.072102073,0.344108625,0.684871955,1.785128194,27.76378915,11.3403,9.3413
5.075873793,0.618905792,0.00522803,1.53018544,27.74980695,11.4,9.3654
5.080641502,1.71367942,0.035394258,0.604369044,27.73591578,11.4507,9.3819
5.084843453,1.942652507,0.008019349,0.262484654,27.72200004,11.4998,9.4046
5.088262845,1.761223786,0.199363975,0.633108304,27.70804109,11.5534,9.4463
5.091855802,1.648481998,-0.185373959,0.720920529,27.69411563,11.6153,9.5142
5.095171484,1.386153118,0.080892902,0.827592719,27.68018978,11.6819,9.596
5.098959043,1.533726264,0.014603322,0.82639768,27.66631369,11.7484,9.6749
5.103296907,2.179747178,-0.158375372,0.602837396,27.65249389,11.8103,9.7348
5.107414633,1.990360949,0.159176807,0.444372026,27.63867558,11.8645,9.766
5.111467225,1.025800264,-0.525725235,0.293588376,27.62486937,11.9108,9.7812
5.116906997,0.708063532,0.298294954,0.065540328,27.61119419,11.9484,9.7982
5.123759163,0.847484613,0.226930031,-0.205827052,27.59765325,11.9758,9.8333
5.131428112,0.857865275,-0.426185985,-0.527303959,27.58419656,11.9918,9.8965
5.140281763,0.972670467,-0.787089192,-0.906717725,27.57085469,11.9983,9.9743
5.149278142,0.591875758,0.500280824,-1.108979693,27.55754497,11.9987,10.0483
5.158353784,-0.386418782,0.42850335,-1.114700794,27.54426244,11.9966,10.1002
5.168336272,-0.947941126,-1.044172924,-1.037296394,27.53107417,11.994,10.1165
5.178999,-1.204116347,-0.001100459,-0.811744619,27.51796242,11.9869,10.1012
5.189019414,-1.170754185,-0.19658679,-0.606449077,27.50477064,11.9692,10.0626
5.198361553,-0.632976659,0.245731417,-0.432607498,27.49149119,11.935,10.009
5.207489552,-0.604053378,-0.691947092,-0.149674602,27.47818552,11.8815,9.9483
