Component,tau=2,tau=3,tau=4,tau=5,tau=6
IMF1,0.482 ,0.326 ,0.266 ,0.257 ,0.215 
IMF2,0.640 ,0.491 ,0.447 ,0.285 ,0.255 
IMF3,0.663 ,0.696 ,0.567 ,0.518 ,0.497 
IMF4,0.660 ,0.834 ,0.901 ,0.824 ,0.691 
IMF5,0.581 ,0.665 ,0.778 ,0.882 ,0.945 
IMF6,0.581 ,0.596 ,0.637 ,0.708 ,0.788 
IMF7,0.588 ,0.598 ,0.587 ,0.581 ,0.592 
IMF8,0.512 ,0.568 ,0.583 ,0.582 ,0.582 
IMF9,0.513 ,0.578 ,0.597 ,0.597 ,0.592 
IMF10,0.509 ,0.585 ,0.609 ,0.615 ,0.614 
IMF11,0.422 ,0.531 ,0.578 ,0.597 ,0.605 
IMF12,0.303 ,0.429 ,0.508 ,0.554 ,0.581 
IMF13,0.242 ,0.364 ,0.451 ,0.510 ,0.548 
IMF14,0.203 ,0.326 ,0.423 ,0.489 ,0.533 
residual,0.068 ,0.108 ,0.153 ,0.200 ,0.248 
