sub1,sub2,sub3,sub4,sub5
-143.3114275,-266.564765,-216.122295,-130.3520342,1109.780522
-33.920995,-248.9698887,-212.6406055,-141.8658903,1114.48738
16.66586684,-209.0352283,-199.2553648,-153.0152319,1119.819958
45.05897701,-150.3745769,-176.3731558,-163.7782681,1125.777024
78.54282288,-78.48716209,-144.7388382,-174.1339909,1132.357168
42.1186016,-0.16820531,-105.4169803,-184.0622245,1139.558808
-3.815164502,77.20233991,-59.76368893,-193.5436735,1147.380187
-39.27255311,146.4119146,-9.388766287,-202.5599681,1155.819373
-59.00885681,201.1266301,43.89167162,-211.0937069,1164.874262
-9.534694299,236.4889392,98.11167463,-219.1284971,1174.542578
5.951136785,249.5457832,151.2202015,-226.6489924,1184.821871
-14.20466036,239.4732437,201.1528215,-233.6409271,1195.709522
-4.137753609,207.587608,245.9085532,-240.0911487,1207.202741
35.08415374,157.155435,283.6294903,-245.9876466,1219.298568
-1.798777035,93.03411145,312.6803705,-251.319578,1231.993873
-7.680640044,21.18774487,331.7248253,-256.077291,1245.285361
36.82772327,-51.86970134,339.7947551,-260.2523446,1259.169568
44.17666448,-119.651152,336.3491488,-263.8375251,1273.642864
23.36095807,-176.2442932,321.3187396,-266.8268601,1288.701456
-7.929380792,-216.7895605,295.1331847,-269.2156286,1304.341385
-65.19921407,-237.8569355,258.7279859,-271.0003686,1320.558532
-82.70841954,-237.7004361,213.5291212,-272.1788807,1337.348615
-27.01250085,-216.3787744,161.4143121,-272.7502294,1354.707193
8.05318092,-175.7390758,104.6509712,-272.7147407,1372.629664
34.57836327,-119.2677374,45.81209742,-272.0739964,1391.111273
37.97984315,-51.81878024,-12.32734253,-270.8308258,1410.147105
34.10289247,20.76408271,-66.90977484,-268.989294,1429.732094
49.30935816,92.10953397,-115.1252222,-266.5546872,1449.861017
15.25485324,155.8366524,-154.346515,-263.5334951,1470.528504
-11.04714999,206.094501,-182.2629947,-259.93339,1491.729034
-11.79150857,238.0836094,-197.0058321,-255.7632039,1513.456935
-36.24146287,248.5160573,-197.258086,-251.0329019,1535.706393
-42.26514391,235.9702586,-182.3430093,-245.7535531,1558.471448
-72.83385968,201.100053,-152.2848883,-239.9372997,1581.745995
-54.2247367,146.6661082,-107.8378394,-233.5973225,1605.52379
23.6177733,77.3710254,-50.47944561,-226.7478046,1629.798452
94.30099631,-0.502722437,17.63216103,-219.4038925,1654.563458
78.54454092,-79.63232664,93.73728804,-211.5816555,1679.812153
73.4037725,-152.3307774,174.5872978,-203.2980425,1705.53775
13.69063974,-211.2996233,256.5864936,-194.570837,1731.733327
-34.46622016,-250.3841593,335.9571534,-185.4186106,1758.391837
-82.37552898,-265.2499849,408.9200854,-175.8606742,1785.506103
-78.58161149,-253.9021088,471.881924,-165.9170286,1813.068825
-43.00416407,-216.9797789,521.6196752,-155.6083124,1841.07258
-11.33551,-157.7813604,555.4527949,-144.9557501,1869.509826
33.81674595,-82.00193936,571.3933914,-133.9810977,1898.3729
22.33540462,2.801184666,568.2659732,-122.7065884,1927.654026
79.44285328,87.96721039,545.7894994,-111.1548769,1957.345314
52.17594024,164.6380205,504.6162601,-99.34898338,1987.438763
22.00759244,224.7141294,446.324252,-87.31223641,2017.926263
36.35387956,261.7526461,373.3620926,-75.06821629,2048.799598
-55.74000481,271.7022307,288.9480218,-62.64069756,2080.05045
-98.57957937,253.3857384,196.9270349,-50.05359176,2111.670398
-111.8810281,208.6684668,101.5925283,-37.33089015,2143.650923
-38.6833249,142.2856265,7.480894203,-24.49660682,2175.983411
79.8538334,61.34258916,-80.85085409,-11.5747221,2208.659154
122.1422575,-25.45927378,-159.0532093,1.410873439,2241.669352
44.99946435,-108.7847354,-223.2062831,14.43643427,2275.00512
-3.366916781,-179.7047683,-270.024214,27.47841435,2308.657485
-6.596105935,-230.6939099,-297.0308968,40.51352058,2342.617392
-45.87867689,-256.468413,-302.6973825,53.51876516,2376.875707
-40.81456941,-254.566992,-286.5331737,66.4715166,2411.423219
18.45216511,-225.6063877,-249.1259668,79.34954946,2446.25064
-17.1399184,-173.182736,-192.1270517,92.13109246,2481.348614
-37.2281215,-103.4320313,-118.1824358,104.794875,2516.707714
-9.912407438,-24.30357293,-30.81263898,117.320172,2552.318447
111.0729087,55.36586104,65.75312378,129.6868467,2588.17126
35.95148672,126.86641,166.7801763,141.8753915,2624.256535
-88.22841866,182.5980807,267.2587689,153.8669671,2660.564602
-43.33659203,216.9075888,362.1498321,165.6434389,2697.085732
-22.25457273,226.6836008,446.6334123,177.1874115,2733.810148
63.01749784,211.6453255,516.3468928,188.482261,2770.728023
51.89057985,174.2971796,567.6005919,199.5121643,2807.829484
12.89115976,119.5625951,597.5595008,210.2621267,2845.104618
-17.95113441,54.14795287,604.3817063,220.7180064,2882.543469
-31.37746435,-14.2814759,587.3063567,230.8665364,2920.136047
34.40703075,-78.01142929,546.6867258,240.6953446,2957.872328
-9.717302523,-130.1648071,483.9668825,250.1929699,2995.742257
-18.01767194,-165.460454,401.6034973,259.3488766,3033.735752
-84.58420807,-180.7592169,302.9372533,268.1534657,3071.842706
-85.13217584,-175.3399108,192.0210119,276.598084,3110.052991
26.536211,-150.8818586,73.41415865,284.6750293,3148.35646
61.07163353,-111.1664282,-48.04571017,292.3775538,3186.742951
182.4524405,-61.54311241,-167.4814835,299.6998651,3225.20229
80.34377321,-8.232263568,-280.2129268,306.6371229,3263.724294
-60.05220136,42.44636598,-381.9783726,313.1854351,3302.298773
-65.39142735,84.82434562,-469.1303008,319.3418493,3340.915533
-38.17913008,114.5254181,-538.7950136,325.1043431,3379.564382
-50.37183695,128.9236471,-588.9887514,330.4718112,3418.23513
-70.75703433,127.3705381,-618.6851454,335.4440497,3456.917592
-87.40399187,111.1723512,-627.831691,340.021739,3495.601593
-12.34730452,83.32971749,-617.3158047,344.2064228,3534.276969
95.12955674,48.08019937,-588.8838149,348.0004862,3572.933573
174.7731008,10.30726788,-545.0187727,351.4071307,3611.561273
91.25108274,-25.10627997,-488.785112,354.4303475,3650.149962
-37.80691483,-53.89771846,-423.6498078,357.0748883,3688.689553
-33.14617519,-72.93934903,-353.2906985,359.3462344,3727.169988
-37.95216552,-80.58663822,-281.4030007,361.2505644,3765.58124
